fk_account,pk_period_payment,period_payment_year,period_payment_month,period_payment_pay_period,period_payment_balance,period_payment_payment_expected,period_payment_payment_actual,period_payment_payment_diff_c,period_payment_paid,period_payment_pending,period_payment_notes
1,1,2023,2,1,"323,732.76",2494.21,2494.21,,FALSE,FALSE,Estimated home value = 563516
2,2,2023,2,1,144.74,23.12,144.74,,TRUE,FALSE,Consumption = 76 CCF
