fk_account,pk_period,period_year,period_month,period_pay_period,period_balance,period_payment_expected,period_payment_actual,period_payment_diff_c,period_paid,period_pending,period_notes
1,1,2023,2,1,"323,732.76",2494.21,2494.21,,FALSE,FALSE,Estimated home value = 563516
2,2,2023,2,1,144.74,23.12,144.74,,TRUE,FALSE,Consumption = 76 CCF
